country_code,country_name,year,SP.DYN.IMRT.IN,SH.DYN.MORT,NY.GDP.FRST.RT.ZS,shrinking_next_yr,SP.POP.DPND.OL,dev_SP.POP.2024.FE.5Y,SP.POP.2024.FE.5Y,SP.POP.3034.FE.5Y,NY.GNS.ICTR.GN.ZS,time_del_MS.MIL.XPND.GD.ZS,SP.DYN.TFRT.IN,EN.ATM.CO2E.PC,SP.POP.5559.FE.5Y,NE.IMP.GNFS.ZS,NY.GDS.TOTL.ZS,TM.VAL.FUEL.ZS.UN,FS.AST.PRVT.GD.ZS,SE.PRM.ENRR,NV.SRV.TETC.ZS,dev_AG.PRD.FOOD.XD,IT.CEL.SETS.P2,SP.DYN.CDRT.IN,time_diff_SP.POP.DPND,NY.ADJ.DCO2.GN.ZS,NV.IND.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.TO65.MA.ZS,FI.RES.TOTL.MO,time_del_AG.PRD.CROP.XD,NY.GDP.DEFL.KD.ZG,SP.DYN.LE00.FE.IN,SP.RUR.TOTL.ZS,NE.TRD.GNFS.ZS,stupid_predictor
ERI,Eritrea,2008,42.1,60.4,4.2667813,0.0,4.008007278,-0.09580987000000007,11.20088474,6.451452566,21.83667279237924,-0.05024312386666671,4.752,0.09789904,2.175854139,26.1321934,-8.989896271000001,14.177293488468738,22.06097637,56.98571014,55.76649498,3.0900000000000034,2.018352101,8.044,0.37450438000000474,0.6736011009999999,26.85103439,58.033,47.88081,4.722739982157228,-70.06,16.07622012,62.578,80.146,30.56095005,0.0
ERI,Eritrea,2009,40.7,57.9,2.386222385,0.0,4.093231848,-0.17173108999999975,11.02915365,6.673788947999999,21.83667279237924,-0.05024312386666671,4.681,0.11910445900000001,2.123504006,23.44351776,-9.651097918,14.177293488468738,16.76807275,53.10298157,63.02676167,13.219999999999999,2.539273454,7.818,0.5425649499999992,0.643954933,22.44439557,58.653999999999996,49.22761,4.722739982157228,23.08,29.504507099999998,63.163000000000004,79.794,27.97214161,0.0
ERI,Eritrea,2010,39.4,55.6,1.86420552,1.0,4.183733815,-0.24064916000000025,10.78850449,6.89334004,21.83667279237924,-0.05024312386666671,4.605,0.11692068,2.091467885,23.34531064,-9.257092183,14.177293488468738,15.977851699999999,48.93296051,54.87368616673421,15.519999999999996,3.227135845,7.569,0.6485280400000022,0.589148585,30.982959174459886,59.292,50.57442,4.722739982157228,3.660000000000011,11.57375741,63.748999999999995,79.428,28.13432287,0.0
ESP,Spain,1971,24.0,26.6,0.100003664,0.0,15.67520959,-0.00889078235662824,7.233048611,5.970493352999999,21.83667279237924,-0.05024312386666671,2.9,3.75994979,5.0545153019999995,12.85294289,26.12066538,16.44543403,56.81653748,110.39051059999998,54.87368616673421,-44.85,35.57684511807827,8.8,-0.5388053406213968,0.501207204,30.982959174459886,68.84,72.62250999999999,4.722739982157228,1.6929573451843452,7.846021315,74.56,33.152,25.92878864,0.0
ESP,Spain,1972,22.6,24.4,0.10172398699999999,0.0,15.89125898,-0.05905272200000056,7.1739958889999995,5.950792411,21.83667279237924,0.1928199060000002,2.87,4.190966866,4.937204817,13.81159692,26.72158231,14.44261041,68.77149445,114.4222412,54.87368616673421,-40.49,35.57684511807827,8.1,0.07454289000000358,0.47795428100000004,30.982959174459886,70.14,72.96818,4.722739982157228,5.949999999999996,8.517924866,75.63,32.459,27.21466006,0.0
ESP,Spain,1973,21.3,23.1,0.10922075,0.0,16.0743897,-0.07318797499999974,7.100807914,5.9987447089999995,21.83667279237924,-0.19045479499999995,2.84,4.440462955,4.811986721999999,14.75349155,27.13867898,13.03593977,71.84656916,109.8551178,54.87368616673421,-34.9,35.57684511807827,8.5,-0.027854089999998166,0.417084874,30.982959174459886,69.84,73.34232,4.722739982157228,6.699999999999996,11.8495953,75.52,31.776,28.13889662,0.0
ESP,Spain,1974,20.0,23.0,0.10950721,0.0,16.24388236,-0.04028284999999965,7.060525064,6.0698181170000005,21.83667279237924,0.08932299399999977,2.88,4.89498864,4.7330082430000004,18.47064672,26.41029696,25.44894631,74.79856715,112.04965209999999,54.87368616673421,-34.51,35.57684511807827,8.3,-0.13367103000000213,0.420187156,30.982959174459886,70.16,73.71647,4.722739982157228,-0.8900000000000006,15.94510942,75.92,31.099,31.7185344,0.0
ESP,Spain,1975,20.4,23.5,0.105550806,0.0,16.41042076,0.02070067699999978,7.081225741,6.134314286,26.07032133,-0.18693037,2.77,5.079852145,4.729892984,16.67386443,25.66878353,26.02802534,77.99842556,112.91767879999999,54.87368616673421,-33.64,0.0,8.3,-0.2325868399999962,0.42211193799999996,30.982959174459886,70.47,74.09061,4.865672602,0.19000000000001194,16.78178182,76.31,30.43,29.10905173,0.0
ESP,Spain,1976,20.4,23.6,0.108986594,0.0,16.67574472,0.0617147039999999,7.142940445,6.193317099,23.53191701,0.29114365200000036,2.77,5.491294602999999,4.7847557489999994,17.47260231,23.383017600000002,29.45841761,80.27787949,111.9300308,54.87368616673421,-34.18,0.0,8.3,-0.028717220000004318,0.486949691,30.982959174459886,70.75,74.46476,3.979768581,-2.7900000000000063,16.48992176,76.68,29.769000000000002,30.0997697,0.0
ESP,Spain,1977,19.7,22.8,0.099958765,0.0,16.93362369,0.12632332500000043,7.26926377,6.254929622000001,23.79393907,-0.0064176430000002505,2.65,5.358942976,4.909823067,15.87718845,23.62763654,28.61721943,77.31911316,111.1128998,54.87368616673421,-36.69,0.0,8.1,-0.19536504999999948,0.470653926,30.982959174459886,71.21,74.8389,4.83513524,-5.530000000000001,23.38307002,77.2,29.116999999999997,29.192612199999996,0.0
